index,日期,净值,总资产,总份数,增加资产,增加份额,5日涨跌幅,备注,今年以来,资产变动
0,2018-01-01,1.0,"¥6,494,005.25","6,494,005.2500","¥6,494,005.25","6,494,005.2500",,,,
1,2018-01-02,1.0156,"¥6,595,041.35","6,494,005.2500",¥0.00,0.0000,,,,
2,2018-01-03,1.0281,"¥6,748,813.81","6,564,520.3208","¥71,612.17","70,515.0708",,,,
3,2018-01-10,1.1213,"¥7,360,716.17","6,564,520.3208",¥0.00,0.0000,,,,
4,2018-01-11,1.1127,"¥7,380,236.70","6,632,488.0932","¥76,211.43","67,967.7723",11.27%,,,
5,2018-02-02,1.1352,"¥7,528,977.46","6,632,488.0932",¥0.00,0.0000,11.78%,,,
6,2018-02-05,1.1834,"¥7,923,304.72","6,695,426.1273","¥71,445.14","62,938.0341",15.11%,,,
7,2018-02-06,1.097,"¥7,344,606.77","6,695,426.1273",¥0.00,0.0000,-2.17%,,,
8,2018-02-07,1.0471,"¥7,147,535.08","6,825,951.9655","¥143,181.47","130,525.8382",-5.90%,,,
9,2018-02-08,1.059,"¥7,228,521.68","6,825,951.9655",¥0.00,0.0000,-6.71%,,,
10,2018-02-09,1.0348,"¥7,128,118.50","6,888,202.8460","¥65,922.21","62,250.8804",-12.55%,,,
11,2018-03-19,1.0875,"¥7,491,141.85","6,888,202.8460",¥0.00,0.0000,-0.86%,,,
12,2018-03-20,1.0827,"¥7,506,776.27","6,933,377.0060","¥49,128.35","45,174.1600",3.40%,,,
13,2018-03-22,1.0544,"¥7,310,256.13","6,933,377.0060",¥0.00,0.0000,-0.44%,,,
14,2018-03-26,1.0232,"¥7,145,684.19","6,983,338.2040","¥52,676.95","49,961.1980",-1.12%,,,
15,2018-03-27,1.0099,"¥7,105,151.11","7,035,493.1262","¥53,367.40","52,154.9222",-7.14%,,,
16,2018-03-28,0.9793,"¥6,938,471.09","7,084,874.6824","¥49,870.48","49,381.5563",-9.55%,,,
17,2018-03-29,1.0036,"¥7,250,167.39","7,224,380.6889","¥136,623.22","139,506.0064",-4.82%,,,
18,2018-04-03,0.9867,"¥7,128,526.49","7,224,380.6889",¥0.00,0.0000,-3.57%,,,
19,2018-04-04,1.0142,"¥7,284,360.94","7,182,536.3619","-¥41,289.13","-41,844.3270",0.42%,,,
20,2018-04-12,1.0227,"¥7,345,379.26","7,182,536.3619",¥0.00,0.0000,4.43%,,,
21,2018-04-13,1.0115,"¥7,400,805.07","7,316,893.5672","¥137,403.36","134,357.2053",0.79%,,,
22,2018-04-17,0.9728,"¥7,170,117.16","7,370,669.0203","¥54,392.16","53,775.4531",-1.41%,,,
23,2018-04-18,0.9704,"¥7,279,588.82","7,501,844.6779","¥127,606.44","131,175.6577",-4.32%,,,
24,2018-04-19,1.001,"¥7,509,376.28","7,501,844.6779",¥0.00,0.0000,-2.12%,,,
25,2018-04-20,0.9944,"¥7,509,780.57","7,552,051.8116","¥50,257.54","50,207.1337",-1.69%,,,
26,2018-04-25,1.0284,"¥7,766,716.34","7,552,051.8116",¥0.00,0.0000,5.72%,,,
27,2018-04-26,0.9949,"¥7,535,744.64","7,574,265.3979","¥22,845.00","22,213.5863",2.53%,Lina注资20000,,
28,2018-04-27,0.9768,"¥7,398,669.91","7,574,265.3979",¥0.00,0.0000,-2.42%,,,
29,2018-05-02,0.9897,"¥8,173,072.36","8,258,219.5539","¥668,097.93","683,954.1560",-0.47%,现金,,
30,2018-05-03,0.9938,"¥8,267,541.90","8,318,808.0577","¥59,963.80","60,588.5038",-3.36%,现金+ETF,,
31,2018-05-04,0.9871,"¥8,211,682.00","8,318,808.0577",¥0.00,,-0.78%,,,
32,2018-05-08,1.038,"¥8,634,608.42","8,318,808.0577",¥0.00,0.0000,6.26%,,,
33,2018-05-09,1.034,"¥8,601,936.00","8,318,808.0577",¥0.00,0.0000,4.48%,,,
34,2018-05-10,1.0417,"¥8,665,333.00","8,318,808.0577",¥0.00,0.0000,4.81%,,,
35,2018-05-11,1.0414,"¥8,663,036.96","8,318,808.0577",¥0.00,0.0000,5.50%,,,
36,2018-05-14,1.069,"¥8,892,928.46","8,318,808.0577",¥0.00,0.0000,2.99%,,,
37,2018-05-15,1.0684,"¥8,887,424.54","8,318,808.0577",¥0.00,0.0000,3.32%,,,
38,2018-05-16,1.0575,"¥8,797,323.82","8,318,808.0577",¥0.00,0.0000,1.52%,,,
39,2018-05-17,1.0502,"¥8,736,357.98","8,318,808.0577",¥0.00,0.0000,0.85%,,,
40,2018-05-18,1.0627,"¥8,840,641.16","8,318,808.0577",¥0.00,0.0000,-0.59%,,,
41,2018-05-21,1.0577,"¥8,948,316.37","8,459,954.0658","¥150,000.00","141,146.0081",-0.99%,宋钱注资,,
42,2018-05-22,1.0529,"¥8,957,411.55","8,507,225.2714","¥50,000.00","47,271.2056",-0.44%,宋钱注资,,
43,2018-05-23,1.0359,"¥8,861,619.19","8,554,712.3453","¥50,000.00","47,487.0738",-1.36%,宋钱注资,,
44,2018-05-24,1.0237,"¥8,807,261.25","8,602,980.6818","¥50,000.00","48,268.3365",-3.67%,宋钱注资,,
45,2018-05-25,1.0281,"¥8,895,106.64","8,651,820.9537","¥50,000.00","48,840.2719",-2.80%,宋钱注资,,
46,2018-05-28,1.0503,"¥9,095,189.42","8,659,602.1496","¥8,000.00","7,781.1959",-0.25%,,,
47,2018-05-29,1.0439,"¥9,040,163.64","8,659,602.1496",¥0.00,0.0000,0.78%,,,
48,2018-05-30,1.0374,"¥8,983,275.44","8,659,602.1496",¥0.00,0.0000,1.33%,,,
49,2018-05-31,1.0759,"¥9,316,751.37","8,659,602.1496",¥0.00,0.0000,4.65%,,,
50,2018-06-01,1.0626,"¥9,202,123.25","8,659,602.1496",¥0.00,0.0000,1.18%,,,
51,2018-06-04,1.096,"¥9,490,638.95","8,659,602.1496",¥0.00,0.0000,4.98%,,,
52,2018-06-05,1.105,"¥9,568,513.23","8,659,602.1496",¥0.00,0.0000,6.51%,,,
53,2018-06-06,1.1004,"¥9,529,119.44","8,659,602.1496",¥0.00,0.0000,2.28%,,,
54,2018-06-07,1.0971,"¥9,500,098.91","8,659,602.1496",¥0.00,0.0000,3.24%,,,
55,2018-06-08,1.0897,"¥9,436,700.65","8,659,602.1496",¥0.00,0.0000,-0.57%,,,
56,2018-06-11,1.0934,"¥9,468,432.41","8,659,602.1496",¥0.00,0.0000,-1.05%,,,
57,2018-06-12,1.1239,"¥9,732,516.11","8,659,602.1496",¥0.00,0.0000,2.13%,,,
58,2018-06-13,1.1141,"¥9,766,715.20","8,766,373.3326","¥120,000.00","106,771.1829",1.55%,老爸老妈+宋钱注资,,
59,2018-06-14,1.1016,"¥9,657,429.20","8,766,373.3326",¥0.00,0.0000,1.09%,,,
60,2018-06-15,1.1024,"¥9,683,743.91","8,784,528.0053","¥20,000.00","18,154.6727",0.82%,Lina注资,,
61,2018-06-19,1.0681,"¥9,383,066.83","8,784,528.0053",¥0.00,0.0000,-4.96%,,,
62,2018-06-20,1.0912,"¥9,606,403.15","8,803,252.2202","¥20,000.00","18,724.2149",-2.05%,,,
63,2018-06-21,1.0871,"¥9,569,937.51","8,803,252.2202",¥0.00,0.0000,-1.32%,,,
64,2018-06-22,1.0914,"¥9,607,703.27","8,803,252.2202",¥0.00,0.0000,-1.00%,,,
65,2018-06-25,1.0827,"¥9,531,284.95","8,803,252.2202",¥0.00,0.0000,1.36%,,,
66,2018-06-26,1.0689,"¥9,409,606.60","8,803,252.2202",¥0.00,0.0000,-2.05%,,,
67,2018-06-27,1.0309,"¥9,557,886.16","9,271,032.2558","¥500,000.00","467,780.0356",-5.17%,歪歪注资,,
68,2018-06-28,1.017,"¥9,428,346.76","9,271,032.2558",¥0.00,0.0000,-6.82%,,,
69,2018-06-29,1.0472,"¥9,708,695.16","9,271,032.2558",¥0.00,0.0000,-3.28%,,,
70,2018-07-02,1.0218,"¥9,473,218.76","9,271,032.2558",¥0.00,0.0000,-4.40%,,,
71,2018-07-03,1.0035,"¥9,323,290.34","9,290,605.3967","¥20,000.00","19,573.1409",-2.66%,,,
72,2018-07-04,0.9937,"¥9,261,989.45","9,320,500.2248","¥30,000.00","29,894.8281",-2.29%,,,
73,2018-07-05,1.0013,"¥9,332,267.07","9,320,500.2248",¥0.00,0.0000,-4.39%,,,
74,2018-07-06,1.0184,"¥9,492,138.28","9,320,500.2248",¥0.00,0.0000,-0.33%,,,
75,2018-07-09,1.0457,"¥9,746,668.68","9,320,500.2248",¥0.00,0.0000,4.21%,,,
76,2018-07-10,1.0439,"¥9,730,041.72","9,320,500.2248",,0.0000,5.05%,,,
77,2018-07-11,1.0336,"¥9,663,475.58","9,349,237.5123","¥30,000.00","28,737.2875",3.23%,,,
78,2018-07-12,1.0535,"¥9,870,070.31","9,368,587.1499","¥20,000.00","19,349.6376",3.45%,,,
79,2018-07-13,1.0661,"¥9,987,432.60","9,368,587.1499",¥0.00,0.0000,1.94%,,,
80,2018-07-16,1.0667,"¥9,993,609.10","9,368,587.1499",¥0.00,0.0000,2.18%,,,
81,2018-07-17,1.0537,"¥9,866,808.16","9,364,191.3163","-¥4,689.10","-4,395.8335",1.94%,,,
82,2018-07-18,1.0431,"¥9,767,414.18","9,364,191.3163",¥0.00,0.0000,-0.99%,,,
83,2018-07-19,1.053,"¥9,860,639.14","9,364,191.3163",¥0.00,0.0000,-1.22%,,,
84,2018-07-20,1.0637,"¥9,960,545.08","9,364,191.3163",¥0.00,0.0000,-0.28%,,,
85,2018-07-23,1.0581,"¥9,908,457.46","9,364,191.3163",¥0.00,0.0000,0.42%,,,
86,2018-07-24,1.0732,"¥10,049,290.66","9,364,191.3163",¥0.00,0.0000,2.89%,,,
87,2018-07-25,1.0725,"¥10,042,919.20","9,364,191.3163",¥0.00,0.0000,1.85%,,,
88,2018-07-26,1.0602,"¥9,927,582.71","9,364,191.3163",¥0.00,0.0000,-0.33%,,,
89,2018-07-27,1.0618,"¥9,942,728.31","9,364,191.3163",¥0.00,0.0000,0.35%,,,
90,2018-07-30,1.0507,"¥9,839,155.42","9,364,191.3163",¥0.00,0.0000,-2.09%,,,
91,2018-07-31,1.0483,"¥9,816,354.48","9,364,191.3163",¥0.00,0.0000,-2.26%,,,
92,2018-08-01,1.0306,"¥9,650,853.97","9,364,191.3163",¥0.00,0.0000,-2.79%,,,
93,2018-08-02,1.0014,"¥9,377,002.19","9,364,191.3163",¥0.00,0.0000,-5.69%,,,
94,2018-08-03,0.9828,"¥9,203,105.88","9,364,191.3163",¥0.00,0.0000,-6.46%,,,
95,2018-08-06,0.9747,"¥9,127,333.39","9,364,191.3163",¥0.00,0.0000,-7.02%,,,
96,2018-08-07,1.0024,"¥9,386,610.98","9,364,191.3163",¥0.00,0.0000,-2.74%,,,
97,2018-08-08,0.9854,"¥9,227,133.29","9,364,191.3163",¥0.00,0.0000,-1.60%,,,
