日期,净值,今年以来,总资产,总份数,资产变动,增加份额,备注
2018-12-27,0.8480,0.00%,"¥8,727,243.21","10,291,520.2504",¥0.00,0.0000,
2019-01-02,0.8417,-0.74%,"¥8,662,862.40","10,291,520.2504",¥0.00,0.0000,
2019-01-03,0.8353,-1.50%,"¥8,596,713.16","10,291,520.2504",¥0.00,0.0000,
2019-01-04,0.8537,0.67%,"¥8,785,766.77","10,291,520.2504",¥0.00,0.0000,
2019-01-07,0.8587,1.26%,"¥8,836,934.50","10,291,520.2504",¥0.00,0.0000,
2019-01-08,0.8616,1.61%,"¥8,867,591.56","10,291,520.2504",¥0.00,0.0000,
2019-01-09,0.8788,3.64%,"¥9,044,532.20","10,291,520.2504",¥0.00,0.0000,
2019-01-10,0.8831,4.14%,"¥9,088,266.42","10,291,520.2504",¥0.00,0.0000,
2019-01-11,0.8961,5.67%,"¥9,222,054.12","10,291,520.2504",¥0.00,0.0000,
2019-01-14,0.8831,4.14%,"¥9,088,405.69","10,291,520.2504",¥0.00,0.0000,
2019-01-15,0.9186,8.32%,"¥9,453,300.70","10,291,520.2504",¥0.00,0.0000,
2019-01-16,0.9243,9.00%,"¥9,777,448.80","10,577,685.2942","¥262,857.59","286,165.0439",
2019-01-17,0.9213,8.64%,"¥9,745,353.89","10,577,685.2942",¥0.00,0.0000,
2019-01-15,0.9409,10.96%,"¥9,952,703.97","10,577,685.2942",¥0.00,0.0000,
2019-01-21,0.9492,11.93%,"¥10,040,205.36","10,577,685.2942",¥0.00,0.0000,
2019-01-22,0.9323,9.94%,"¥9,861,737.35","10,577,685.2942",¥0.00,0.0000,
2019-01-23,0.9286,9.51%,"¥9,822,668.73","10,577,685.2942",¥0.00,0.0000,
2019-01-24,0.9363,10.41%,"¥9,903,704.50","10,577,685.2942",¥0.00,0.0000,
2019-01-25,0.9478,11.77%,"¥10,025,740.51","10,577,685.2942",¥0.00,0.0000,
2019-01-26,0.9478,11.77%,"¥10,060,740.51","10,614,612.1412","¥35,000.00","36,926.8469",
2019-01-28,0.9487,11.87%,"¥10,069,646.82","10,614,612.1412",¥0.00,0.0000,
2019-01-29,0.9533,12.42%,"¥10,118,732.82","10,614,612.1412",¥0.00,0.0000,
2019-01-30,0.9425,11.14%,"¥10,004,049.26","10,614,612.1412",¥0.00,0.0000,
2019-01-31,0.9562,12.76%,"¥10,150,017.89","10,614,612.1412",¥0.00,0.0000,
2019-02-01,0.9681,14.16%,"¥10,275,842.38","10,614,612.1412",¥0.00,0.0000,
2019-02-11,1.0082,18.89%,"¥10,701,453.27","10,614,612.1412",¥0.00,0.0000,
2019-02-12,1.0043,18.43%,"¥10,660,323.95","10,614,612.1412",¥0.00,0.0000,
2019-02-13,1.0210,20.41%,"¥10,838,003.61","10,614,612.1412",¥0.00,0.0000,
2019-02-14,1.0333,21.85%,"¥10,968,189.85","10,614,612.1412",¥0.00,0.0000,
2019-02-15,1.0062,18.65%,"¥10,680,144.44","10,614,612.1412",¥0.00,0.0000,
2019-02-18,1.0324,21.75%,"¥10,958,606.66","10,614,612.1412",¥0.00,0.0000,
2019-02-19,1.0249,20.87%,"¥10,879,368.04","10,614,612.1412",¥0.00,0.0000,
2019-02-20,1.0261,21.00%,"¥10,891,867.51","10,614,612.1412",¥0.00,0.0000,
2019-02-21,1.0296,21.42%,"¥10,928,842.92","10,614,612.1412",¥0.00,0.0000,
