日期,净值,今年以来,总资产,资产变动,总份数,增加份额,备注
2021-12-31,2.0735,0.00%,"¥22,779,193.97",¥0.00,"10,985,664.0809",0.0000,
2022-01-04,2.0714,-0.10%,"¥22,755,982.93",¥0.00,"10,985,664.0809",0.0000,
2022-01-05,2.0339,-1.91%,"¥22,171,172.00","-¥176,050.81","10,900,673.9020","-84,990.1789",
2022-01-06,2.0180,-2.68%,"¥21,998,044.00",¥0.00,"10,900,673.9020",0.0000,
2022-01-07,2.0300,-2.10%,"¥22,128,424.00",¥0.00,"10,900,673.9020",0.0000,
2022-01-10,2.0507,-1.10%,"¥22,354,070.00",¥0.00,"10,900,673.9020",0.0000,
2022-01-11,2.0468,-1.29%,"¥22,311,620.00",¥0.00,"10,900,673.9020",0.0000,
2022-01-12,2.0876,0.68%,"¥22,755,821.00",¥0.00,"10,900,673.9020",0.0000,
2022-01-13,2.0414,-1.55%,"¥22,252,672.00",¥0.00,"10,900,673.9020",0.0000,
2022-01-14,2.0214,-2.52%,"¥22,034,318.00",¥0.00,"10,900,673.9020",0.0000,
2022-01-15,2.0214,-2.52%,"¥22,534,318.00","¥500,000.00","11,148,030.6367","247,356.7347",
2022-01-17,2.0088,-3.12%,"¥22,394,394.00",¥0.00,"11,148,030.6367",0.0000,
2022-01-18,2.0069,-3.21%,"¥22,373,102.00",¥0.00,"11,148,030.6367",0.0000,
2022-01-19,2.0133,-2.90%,"¥22,444,859.00",¥0.00,"11,148,030.6367",0.0000,
2022-01-20,2.0749,0.06%,"¥23,130,785.00",¥0.00,"11,148,030.6367",0.0000,
2022-01-21,2.0855,0.58%,"¥23,249,626.35",¥0.00,"11,148,030.6367",0.0000,
2022-01-24,2.0741,0.03%,"¥23,122,277.00",¥0.00,"11,148,030.6367",0.0000,
2022-01-25,2.0447,-1.39%,"¥22,794,617.00",¥0.00,"11,148,030.6367",0.0000,
2022-01-26,2.0594,-0.68%,"¥22,957,716.00",¥0.00,"11,148,030.6367",0.0000,
2022-01-27,2.0313,-2.04%,"¥22,644,980.46",¥0.00,"11,148,030.6367",0.0000,
2022-01-28,1.9993,-3.58%,"¥22,317,624.67","¥30,000.00","11,162,799.5132","14,768.8765",
2022-02-07,2.0454,-1.36%,"¥22,832,793.00",¥0.00,"11,162,799.5132",0.0000,
2022-02-08,2.0182,-2.67%,"¥22,534,230.70","¥6,000.00","11,165,732.8730","2,933.3598",
2022-02-09,2.0763,0.13%,"¥23,204,321.20","¥20,000.00","11,175,642.8921","9,910.0191",
2022-02-10,2.0873,0.66%,"¥23,346,992.06","¥20,000.00","11,185,275.2729","9,632.3808",
2022-02-11,2.0673,-0.30%,"¥23,123,221.00",¥0.00,"11,185,275.2729",0.0000,
2022-02-14,2.0581,-0.74%,"¥23,020,787.00",¥0.00,"11,185,275.2729",0.0000,
2022-02-15,2.0642,-0.45%,"¥23,088,974.00",¥0.00,"11,185,275.2729",0.0000,
2022-02-16,2.0741,0.03%,"¥23,198,894.44",¥0.00,"11,185,275.2729",0.0000,
2022-02-17,2.0704,-0.15%,"¥23,157,831.00",¥0.00,"11,185,275.2729",0.0000,
2022-02-18,2.0648,-0.42%,"¥23,095,556.27",¥0.00,"11,185,275.2729",0.0000,
2022-02-21,2.0089,-3.12%,"¥22,470,170.29",¥0.00,"11,185,275.2729",0.0000,
